# %ECSV 1.0
# ---
# datatype:
# - {name: PROGRAM, datatype: string}
# - {name: CAP, datatype: string}
# - {name: RA, datatype: float64}
# - {name: DEC, datatype: float64}
# meta: !!omap
# - {CREADATE: '2024-08-14T14:04:13-07:00'}
# - {VERSION: v20240814}
# - {DESIFN: /global/cfs/cdirs/desi/survey/ops/surveyops/trunk/ops/tiles-main.ecsv}
# - {DESI1BFN: /global/cfs/cdirs/desi/users/raichoor/desi1b/tiles-add-dr11-20240520.ecsv}
# - {PROGRAMS: 'BRIGHT,DARK'}
# - {NPASSES: '6,9'}
# schema: astropy-2.0
PROGRAM CAP RA DEC
BRIGHT NGC 193.5 84.973
BRIGHT NGC 197.083 85.064
BRIGHT NGC 201.25 85.064
BRIGHT NGC 203.532 85.019
BRIGHT NGC 204.955 84.973
BRIGHT NGC 208.026 84.79
BRIGHT NGC 210.63 84.561
BRIGHT NGC 212.953 84.195
BRIGHT NGC 213.832 83.738
BRIGHT NGC 213.968 82.914
BRIGHT NGC 217.5 82.594
BRIGHT NGC 219.722 82.594
BRIGHT NGC 221.982 82.502
BRIGHT NGC 223.645 82.411
BRIGHT NGC 225.0 82.273
BRIGHT NGC 226.293 82.044
BRIGHT NGC 227.514 81.815
BRIGHT NGC 237.395 82.365
BRIGHT NGC 248.226 82.914
BRIGHT NGC 254.032 82.914
BRIGHT NGC 258.248 82.823
BRIGHT NGC 260.833 82.594
BRIGHT NGC 262.725 82.365
BRIGHT NGC 264.086 81.999
BRIGHT NGC 264.119 81.953
BRIGHT NGC 264.344 81.632
BRIGHT NGC 264.553 81.311
BRIGHT NGC 264.289 80.991
BRIGHT NGC 265.909 80.441
BRIGHT NGC 274.859 80.257
BRIGHT NGC 279.163 79.89
BRIGHT NGC 280.855 79.569
BRIGHT NGC 283.101 79.156
BRIGHT NGC 283.889 78.881
BRIGHT NGC 284.277 78.606
BRIGHT NGC 284.407 78.422
BRIGHT NGC 284.365 78.1
BRIGHT NGC 283.989 77.779
BRIGHT NGC 283.303 77.457
BRIGHT NGC 282.387 76.86
BRIGHT NGC 284.186 76.492
BRIGHT NGC 285.543 76.077
BRIGHT NGC 286.35 75.755
BRIGHT NGC 286.84 75.433
BRIGHT NGC 286.927 75.018
BRIGHT NGC 286.824 74.926
BRIGHT NGC 286.473 74.603
BRIGHT NGC 286.137 74.281
BRIGHT NGC 285.344 74.004
BRIGHT NGC 287.137 73.265
BRIGHT NGC 288.65 72.85
BRIGHT NGC 289.336 72.388
BRIGHT NGC 291.477 71.833
BRIGHT NGC 292.278 71.37
BRIGHT NGC 292.391 71.092
BRIGHT NGC 292.446 70.768
BRIGHT NGC 292.287 70.629
BRIGHT NGC 291.923 70.304
BRIGHT NGC 291.571 69.979
BRIGHT NGC 294.412 68.912
BRIGHT NGC 295.372 68.4
BRIGHT NGC 296.608 67.842
BRIGHT NGC 296.982 67.376
BRIGHT NGC 297.216 66.957
BRIGHT NGC 298.037 66.444
BRIGHT NGC 298.362 65.977
BRIGHT NGC 298.274 65.603
BRIGHT NGC 298.073 65.276
BRIGHT NGC 297.711 64.948
BRIGHT NGC 297.459 64.714
BRIGHT NGC 297.147 64.574
BRIGHT NGC 296.628 64.386
BRIGHT NGC 295.588 64.152
BRIGHT NGC 293.847 63.824
BRIGHT NGC 294.482 63.307
BRIGHT NGC 294.608 62.932
BRIGHT NGC 294.58 62.556
BRIGHT NGC 294.444 62.226
BRIGHT NGC 294.202 61.944
BRIGHT NGC 293.858 61.708
BRIGHT NGC 293.596 61.567
BRIGHT NGC 293.002 61.001
BRIGHT NGC 292.995 60.623
BRIGHT NGC 292.849 60.245
BRIGHT NGC 292.604 59.914
BRIGHT NGC 292.466 59.725
BRIGHT NGC 292.226 59.583
BRIGHT NGC 291.619 59.299
BRIGHT NGC 290.951 59.109
BRIGHT NGC 289.679 59.015
BRIGHT NGC 289.539 58.35
BRIGHT NGC 289.444 57.97
BRIGHT NGC 289.249 57.637
BRIGHT NGC 289.194 57.542
BRIGHT NGC 288.931 57.304
BRIGHT NGC 288.392 57.019
BRIGHT NGC 287.762 56.78
BRIGHT NGC 288.356 56.017
BRIGHT NGC 288.836 55.539
BRIGHT NGC 288.969 55.108
BRIGHT NGC 288.913 54.773
BRIGHT NGC 288.833 54.389
BRIGHT NGC 288.784 54.293
BRIGHT NGC 288.547 54.053
BRIGHT NGC 288.173 53.765
BRIGHT NGC 287.599 53.524
BRIGHT NGC 286.825 53.332
BRIGHT NGC 286.552 52.705
BRIGHT NGC 286.813 52.271
BRIGHT NGC 286.868 51.885
BRIGHT NGC 286.834 51.546
BRIGHT NGC 286.693 51.207
BRIGHT NGC 286.653 51.11
BRIGHT NGC 286.3 50.771
BRIGHT NGC 285.973 50.48
BRIGHT NGC 285.544 50.189
BRIGHT NGC 285.157 49.994
BRIGHT NGC 284.356 49.8
BRIGHT NGC 283.101 49.459
BRIGHT NGC 283.086 49.41
BRIGHT NGC 282.659 49.02
BRIGHT NGC 282.691 48.435
BRIGHT NGC 282.778 48.043
BRIGHT NGC 282.68 47.701
BRIGHT NGC 282.681 47.358
BRIGHT NGC 282.598 47.063
BRIGHT NGC 282.767 46.621
BRIGHT NGC 283.029 46.178
BRIGHT NGC 283.109 45.784
BRIGHT NGC 283.013 45.439
BRIGHT NGC 282.918 45.093
BRIGHT NGC 282.904 45.043
BRIGHT NGC 282.637 44.747
BRIGHT NGC 282.549 44.053
BRIGHT NGC 282.642 43.705
BRIGHT NGC 282.553 43.357
BRIGHT NGC 282.477 43.058
BRIGHT NGC 282.338 42.859
BRIGHT NGC 282.098 42.61
BRIGHT NGC 281.683 42.36
BRIGHT NGC 281.129 41.86
BRIGHT NGC 281.074 41.66
BRIGHT NGC 280.986 41.461
BRIGHT NGC 280.723 40.866
BRIGHT NGC 280.723 40.571
BRIGHT NGC 280.635 40.277
BRIGHT NGC 280.415 39.936
BRIGHT NGC 280.327 39.838
BRIGHT NGC 280.151 39.258
BRIGHT NGC 280.239 38.778
BRIGHT NGC 280.195 38.444
BRIGHT NGC 280.063 38.111
BRIGHT NGC 280.02 38.064
BRIGHT NGC 279.756 37.78
BRIGHT NGC 279.404 37.497
BRIGHT NGC 279.009 37.263
BRIGHT NGC 278.613 36.842
BRIGHT NGC 278.481 36.609
BRIGHT NGC 278.262 36.377
BRIGHT NGC 277.954 35.777
BRIGHT NGC 278.086 35.365
BRIGHT NGC 278.042 35.045
BRIGHT NGC 277.998 34.817
BRIGHT NGC 277.822 34.364
BRIGHT NGC 277.822 34.004
BRIGHT NGC 277.778 33.689
BRIGHT NGC 277.734 33.555
BRIGHT NGC 277.559 33.287
BRIGHT NGC 277.251 32.975
BRIGHT NGC 276.812 32.443
BRIGHT NGC 276.768 32.134
BRIGHT NGC 276.68 31.87
BRIGHT NGC 276.592 31.695
BRIGHT NGC 276.328 31.432
BRIGHT NGC 276.021 31.126
BRIGHT NGC 275.625 30.909
BRIGHT NGC 274.966 30.432
BRIGHT NGC 274.878 30.086
BRIGHT NGC 274.966 29.742
BRIGHT NGC 274.966 29.399
BRIGHT NGC 274.878 29.057
BRIGHT NGC 274.79 28.886
BRIGHT NGC 274.614 28.631
BRIGHT NGC 274.351 28.376
BRIGHT NGC 273.999 28.122
BRIGHT NGC 273.384 27.953
BRIGHT NGC 272.988 27.49
BRIGHT NGC 272.9 27.154
BRIGHT NGC 272.9 26.735
BRIGHT NGC 272.988 26.318
BRIGHT NGC 272.944 25.944
BRIGHT NGC 272.856 25.613
BRIGHT NGC 272.812 25.489
BRIGHT NGC 272.637 25.241
BRIGHT NGC 272.373 24.994
BRIGHT NGC 272.021 24.747
BRIGHT NGC 271.406 24.583
BRIGHT NGC 270.967 24.256
BRIGHT NGC 270.835 24.051
BRIGHT NGC 270.659 23.399
BRIGHT NGC 270.747 23.074
BRIGHT NGC 270.747 22.67
BRIGHT NGC 270.703 22.387
BRIGHT NGC 270.659 22.266
BRIGHT NGC 270.396 21.863
BRIGHT NGC 270.22 21.703
BRIGHT NGC 269.868 21.462
BRIGHT NGC 269.868 20.742
BRIGHT NGC 270.22 20.264
BRIGHT NGC 270.396 19.867
BRIGHT NGC 270.439 19.511
BRIGHT NGC 270.352 19.116
BRIGHT NGC 270.352 19.037
BRIGHT NGC 270.22 18.761
BRIGHT NGC 269.956 18.446
BRIGHT NGC 269.692 18.21
BRIGHT NGC 269.297 17.7
BRIGHT NGC 269.209 17.387
BRIGHT NGC 269.165 17.27
BRIGHT NGC 268.945 16.997
BRIGHT NGC 268.638 16.724
BRIGHT NGC 268.286 16.49
BRIGHT NGC 267.979 15.985
BRIGHT NGC 267.891 15.675
BRIGHT NGC 267.935 15.249
BRIGHT NGC 267.935 14.863
BRIGHT NGC 267.847 14.555
BRIGHT NGC 267.759 14.323
BRIGHT NGC 267.671 14.17
BRIGHT NGC 267.407 13.862
BRIGHT NGC 267.056 13.632
BRIGHT NGC 266.792 13.095
BRIGHT NGC 266.704 12.789
BRIGHT NGC 266.616 12.636
BRIGHT NGC 266.44 12.406
BRIGHT NGC 266.177 12.177
BRIGHT NGC 265.825 11.948
BRIGHT NGC 265.386 11.72
BRIGHT NGC 264.99 11.529
BRIGHT NGC 264.419 11.415
BRIGHT NGC 262.749 11.72
BRIGHT NGC 262.441 11.453
BRIGHT NGC 262.134 11.263
BRIGHT NGC 261.606 11.111
BRIGHT NGC 261.343 10.503
BRIGHT NGC 261.387 10.162
BRIGHT NGC 261.387 9.859
BRIGHT NGC 261.299 9.556
BRIGHT NGC 261.255 9.14
BRIGHT NGC 261.255 8.763
BRIGHT NGC 261.167 8.461
BRIGHT NGC 261.079 8.235
BRIGHT NGC 260.991 8.084
BRIGHT NGC 260.728 7.783
BRIGHT NGC 260.42 7.595
BRIGHT NGC 260.024 7.406
BRIGHT NGC 259.146 7.406
BRIGHT NGC 258.179 7.256
BRIGHT NGC 258.091 6.955
BRIGHT NGC 258.003 6.805
BRIGHT NGC 257.695 6.317
BRIGHT NGC 257.959 5.792
BRIGHT NGC 258.047 5.417
BRIGHT NGC 258.047 5.042
BRIGHT NGC 257.959 4.743
BRIGHT NGC 257.959 4.668
BRIGHT NGC 257.783 4.369
BRIGHT NGC 257.563 4.107
BRIGHT NGC 257.3 3.882
BRIGHT NGC 256.904 3.695
BRIGHT NGC 256.465 3.546
BRIGHT NGC 256.113 3.322
BRIGHT NGC 255.674 3.172
BRIGHT NGC 255.059 2.799
BRIGHT NGC 254.971 2.575
BRIGHT NGC 254.883 2.201
BRIGHT NGC 254.839 1.791
BRIGHT NGC 254.751 1.567
BRIGHT NGC 254.663 1.418
BRIGHT NGC 254.487 1.194
BRIGHT NGC 254.224 0.97
BRIGHT NGC 253.872 0.746
BRIGHT NGC 253.389 0.41
BRIGHT NGC 253.301 0.187
BRIGHT NGC 253.169 0.0
BRIGHT NGC 252.993 -0.224
BRIGHT NGC 252.642 -0.448
BRIGHT NGC 252.29 -0.597
BRIGHT NGC 251.675 -0.671
BRIGHT NGC 250.181 -0.448
BRIGHT NGC 250.093 -0.671
BRIGHT NGC 250.005 -0.821
BRIGHT NGC 249.785 -1.082
BRIGHT NGC 249.521 -1.306
BRIGHT NGC 249.17 -1.455
BRIGHT NGC 248.818 -1.679
BRIGHT NGC 248.467 -1.828
BRIGHT NGC 248.071 -1.94
BRIGHT NGC 247.28 -1.865
BRIGHT NGC 246.313 -1.642
BRIGHT NGC 244.556 -0.97
BRIGHT NGC 243.853 -0.895
BRIGHT NGC 242.49 -0.485
BRIGHT NGC 242.227 -0.634
BRIGHT NGC 241.831 -0.746
BRIGHT NGC 241.172 -0.709
BRIGHT NGC 239.854 -0.485
BRIGHT NGC 239.81 -0.821
BRIGHT NGC 239.722 -1.045
